fragment_id,doc_id,matrix_id,ingredient,claim_type,outcome_target,page_or_section,fragment_text,supports_claim,support_strength,dose_context,population_context,conditions_or_limits,retrieval_keywords,annotation_notes
FRAG_001_01,DOC_001,M01,creatine_monohydrate,performance,strength,position summary / review findings,Creatine monohydrate is described as the form with the strongest ergogenic support for increasing high-intensity exercise capacity and lean mass during training.,yes,moderate,not specified in this extracted fragment,mixed,Indirect support for strength; it should be combined with strength-specific meta-analyses.,creatine|creatine monohydrate|strength|high intensity|resistance training,Cleaned: project-specific interpretation was removed and support strength for M01 was downgraded.
FRAG_001_02,DOC_001,M02,creatine_monohydrate,performance,power_high_intensity_performance,position summary / review findings,"After a loading phase, performance in high-intensity and/or repeated exercise typically increases, making creatine especially relevant for power claims or short repeated efforts.",yes,strong,not specified in this extracted fragment,mixed,More useful for high-intensity and repeated efforts than for purely aerobic events.,creatine|power|high intensity|repeated sprint|ergogenic,Cleaned: text made more faithful to the position stand and focused on high intensity.
FRAG_001_03,DOC_001,M03,creatine_monohydrate,body_composition,lean_mass_gain,position summary / review findings,"Creatine is also associated with increases in lean mass during training, although that support is complementary and does not justify broad muscle-gain promises on its own.",partial,moderate,not specified in this extracted fragment,mixed,"For body composition, it should also be supported by specific meta-analyses; the effect does not justify inflated claims.",creatine|lean mass|muscle mass|body composition,Kept as partial support for lean_mass_gain.
FRAG_002_01,DOC_002,M01,creatine_monohydrate,performance,strength,abstract results / conclusions,"Compared with placebo, creatine combined with resistance training significantly increased upper- and lower-body strength in adults under 50 years of age.",yes,strong,high-dose tended to outperform lower-dose protocols; exact threshold not fixed in snippet,mixed,"Benefits appear larger in men than in women, and the finding is limited to adults under 50 years of age.",creatine|strength|upper body|lower body|resistance training,Primary fragment for backed results on explicit strength claims.
FRAG_003_01,DOC_003,M03,creatine_monohydrate,body_composition,lean_mass_gain,abstract / pooled analysis,The combination of creatine and resistance training produced a small increase in direct measures of regional muscle hypertrophy.,partial,moderate,not specified in extracted snippet,mixed,"The effect size is small; it supports the claim only partially, not strong muscle-gain promises.",creatine|hypertrophy|lean mass|muscle accretion,Very useful for distinguishing partially_backed from potentially_misleading in aggressive muscle claims.
FRAG_004_01,DOC_004,M04,caffeine,energy_fatigue,perceived_energy_fatigue_reduction,position summary,"Caffeine improves performance when consumed at doses of 3-6 mg/kg, and the minimum effective dose may be lower; this provides a reasonable basis for claims about reduced perceived fatigue or increased alertness, but not for exaggerated energy promises.",yes,moderate,3-6 mg/kg body mass; minimal effective dose may be ~2 mg/kg,mixed,Very high doses do not appear to add benefit and increase the risk of adverse effects.,caffeine|fatigue|energy|alertness|perceived exertion,Cleaned: downgraded to moderate because 'energy' is an indirect commercial translation of the ergogenic/RPE effect.
FRAG_004_02,DOC_004,M05,caffeine,performance,endurance_exercise_performance,position summary,"Caffeine has consistently shown exercise-performance benefits, especially at moderate doses, and is relevant for endurance/performance claims.",yes,strong,3-6 mg/kg body mass,mixed,Individual response varies; tolerance and habitual intake can modulate the effect.,caffeine|endurance|exercise performance|ergogenic,No substantial changes; strong support for M05.
FRAG_005_01,DOC_005,M05,caffeine,performance,endurance_exercise_performance,abstract results,"Acute caffeine intake can be used effectively as an ergogenic aid at moderate doses, producing a small but consistent improvement in endurance performance.",yes,strong,"moderate doses, typically 3-6 mg/kg",mixed,The effect is small; it does not justify extreme claims.,caffeine|endurance performance|time trial|mean power,Cleaned: text made closer to the meta-analysis.
FRAG_006_01,DOC_006,M04,caffeine,energy_fatigue,perceived_energy_fatigue_reduction,meta-analysis summary,"Caffeine reduces the subjective rating of effort during exercise, providing a specific basis for claims about reduced perceived fatigue.",yes,moderate,not standardized in this extracted fragment,mixed,Perceptual outcome; it should not be extrapolated to a generic promise of extreme energy.,caffeine|RPE|fatigue|perceived exertion|energy,Kept; it is a good specific complement for M04.
FRAG_007_01,DOC_007,M07,whey_protein,recovery,post_exercise_recovery,abstract / meta-analysis summary,"The review of whey for recovery of muscle function after resistance exercise found mixed results: only some studies reported benefits, and the literature is described as equivocal.",partial,weak,not standardized in extracted snippet,recreationally_active_adults,Whey-specific evidence for recovery is not uniform; it does not support strong accelerated-recovery claims.,whey|recovery|muscle function|resistance exercise|96 h,Major correction: the previous version overstated the support. It was revised to partial-weak support.
FRAG_008_01,DOC_008,M07,whey_protein,recovery,post_exercise_recovery,systematic review conclusion,"Peri-exercise protein may help preserve maximal strength and reduce creatine kinase after resistance exercise, but it showed no clear effect on muscle soreness.",partial,moderate,peri-exercise protein supplementation,mixed,"Indirect evidence for whey because the document addresses supplemental protein in general, not whey in isolation.",protein|recovery|muscle damage|creatine kinase|strength preservation,Kept as partial and indirect support for M07.
FRAG_009_01,DOC_009,M08,whey_protein,body_composition,lean_mass_gain,abstract summary,Protein supplementation significantly improved changes in strength and muscle size during prolonged resistance training in healthy adults.,partial,moderate,benefit plateau beyond ~1.6 g/kg/day total protein intake,healthy_adults,"Indirect evidence for whey: the meta-analysis is about supplemental protein in general, not specifically whey.",protein supplementation|lean body mass|muscle size|resistance training,Cleaned: downgraded from yes/strong to partial/moderate because whey specificity is lacking.
FRAG_009_02,DOC_009,M08,whey_protein,body_composition,lean_mass_gain,meta-regression summary,"Above an approximate total daily intake of 1.6 g/kg/day, protein supplementation provided no additional benefits for fat-free mass or strength during resistance training.",partial,moderate,~1.6 g/kg/day total protein intake threshold,healthy_adults,Limitation fragment; useful for constraining claims such as more protein always means more muscle.,protein threshold|1.6 g/kg/day|lean mass|fat-free mass,Kept as a very useful limitation fragment.
FRAG_010_01,DOC_010,M06,beta_alanine,performance,exercise_capacity_high_intensity_tolerance,abstract summary,"Beta-alanine supplementation showed a significant overall effect, with the largest effects appearing in exercises lasting 0.5 to 10 minutes, especially on exercise capacity rather than broad performance.",yes,strong,not specified in extracted meta-analysis snippet,mixed,The evidence is stronger for exercise capacity than for any generic performance claim.,beta-alanine|exercise capacity|high intensity|performance,Cleaned: the time window and the capacity vs performance distinction are made explicit.
FRAG_011_01,DOC_011,M06,beta_alanine,performance,exercise_capacity_high_intensity_tolerance,position stand summary,The ISSN position stand states that daily beta-alanine supplementation of 4 to 6 g for at least 2 to 4 weeks can improve exercise performance and act as an ergogenic aid.,yes,strong,4-6 g/day for at least 2-4 weeks,mixed,More relevant to intense efforts; it is not universal support for every modality.,beta-alanine|4-6 g/day|2-4 weeks|high intensity|ergogenic,Kept; a good fragment for rules involving dose and duration.
FRAG_012_01,DOC_012,M11,caffeine,cognitive,reaction_time_focus,systematic review summary,"Caffeine significantly improves attention, alertness, and reaction time during and after exercise, with effects observed at doses as low as 1-3 mg/kg body mass.",yes,strong,1-6 mg/kg body mass,mixed,Effects on complex cognitive tasks are less consistent than on simple reaction time and vigilance.,caffeine|reaction time|focus|attention|alertness|cognitive,Well-established cognitive ergogenic effect of caffeine from multiple meta-analyses.
FRAG_012_02,DOC_012,M11,caffeine,cognitive,reaction_time_focus,meta-analysis findings,"Caffeine enhances vigilance and sustained attention during prolonged exercise or sleep deprivation, supporting claims about improved mental performance during physical activity.",yes,moderate,moderate doses typically 3-6 mg/kg,mixed,Benefits are clearer for vigilance than for memory or complex decision-making.,caffeine|cognitive|vigilance|sustained attention|mental performance|sleep deprivation,Complements FRAG_012_01 with the vigilance and sustained attention angle.
FRAG_013_01,DOC_013,M12,citrulline_malate,performance,blood_flow_oxygen_delivery,review findings,"Citrulline supplementation increases plasma arginine concentrations and nitric oxide bioavailability, thereby enhancing blood flow and oxygen delivery to working muscles during exercise.",yes,moderate,6-8 g citrulline malate or 3-6 g L-citrulline taken 40-60 min pre-exercise,mixed,The magnitude of blood flow improvement varies across studies and populations.,citrulline|arginine|nitric oxide|blood flow|oxygen delivery|vasodilation,Based on Trexler et al. (2019) and Wax et al. (2015) findings.
FRAG_013_02,DOC_013,M13,citrulline_malate,performance,time_to_exhaustion,meta-analysis results,"Citrulline malate supplementation at 6-8 g may increase the number of repetitions to failure in resistance exercise by approximately 6-11%, suggesting improved exercise tolerance.",partial,moderate,6-8 g citrulline malate pre-exercise,mixed,Many studies have small sample sizes; the effect on aerobic time to exhaustion is less consistent.,citrulline malate|repetitions|time to exhaustion|exercise tolerance|resistance exercise,Moderate support; effect sizes vary and most studies are small.
FRAG_013_03,DOC_013,M14,citrulline_malate,recovery,muscle_soreness_recovery,clinical trial,"Participants who consumed citrulline malate before exercise reported reduced perceived muscle soreness at 24 and 48 hours post-exercise compared to placebo, though the evidence base is limited.",partial,weak,8 g citrulline malate pre-exercise,recreationally_active_adults,Based on a single well-cited study; replication is needed before strong claims are supported.,citrulline|muscle soreness|DOMS|recovery|perceived soreness,Perez-Guisado and Jakeman (2010); limited evidence base.
FRAG_014_01,DOC_014,M15,vitamin_d,performance,strength,systematic review,"Correcting vitamin D deficiency in athletes is associated with improved muscle function, including greater type II muscle fiber size and improved muscle strength, but supplementation above sufficient levels provides no additional performance benefit.",partial,moderate,"1000-5000 IU/day to achieve serum 25(OH)D above 40 ng/mL",athletes_with_deficiency,"Benefits are primarily observed in individuals who are deficient; no ergogenic effect when vitamin D status is already sufficient.",vitamin D|muscle strength|muscle function|deficiency|type II fiber,Owens et al. (2018) and Close et al. (2013); benefits conditional on baseline status.
FRAG_014_02,DOC_014,M16,vitamin_d,health,immune_function,meta-analysis results,"Vitamin D supplementation reduces the incidence of upper respiratory tract infections in athletes and the general population, with the greatest benefit seen in those with baseline deficiency.",yes,moderate,"1000-4000 IU/day for at least 12 weeks",mixed,"Greatest benefit when correcting deficiency; high-dose bolus supplementation is less effective than daily dosing.",vitamin D|immune function|URTI|upper respiratory|infection|immunity,He et al. (2013) and Martineau et al. (2017); well-supported for immune health.
FRAG_015_01,DOC_015,M17,fish_oil,recovery,inflammation_reduction,systematic review,"Omega-3 fatty acid supplementation at doses of 2-4 g EPA+DHA per day reduces circulating inflammatory markers including IL-6 and TNF-alpha after intense exercise, supporting an anti-inflammatory role in athletic recovery.",yes,moderate,2-4 g combined EPA+DHA per day for at least 4 weeks,mixed,Anti-inflammatory effects do not necessarily translate to improved performance; recovery benefits are indirect.,fish oil|omega-3|EPA|DHA|inflammation|IL-6|TNF-alpha|anti-inflammatory,Philpott et al. (2019); consistent anti-inflammatory evidence.
FRAG_015_02,DOC_015,M18,fish_oil,recovery,muscle_soreness_recovery,meta-analysis findings,"Fish oil supplementation may attenuate delayed onset muscle soreness after eccentric exercise, though the effect is small and not all studies show significant benefits.",partial,weak,2-3 g EPA+DHA per day,mixed,Effects on DOMS are inconsistent across studies; the practical significance is uncertain.,fish oil|omega-3|DOMS|muscle soreness|eccentric exercise|recovery,Mickleborough (2013); evidence is weak and inconsistent for DOMS specifically.
FRAG_016_01,DOC_016,M19,hmb,body_composition,lean_mass_gain,"ISSN position stand summary (Wilson et al., 2013)","HMB supplementation at 3 g per day may help preserve lean body mass during caloric restriction or catabolic conditions, and has shown modest benefits for lean mass accretion in untrained individuals beginning resistance training.",partial,moderate,3 g/day split into three 1 g doses,untrained_or_caloric_restriction,Effects in well-trained athletes performing normal training are small to negligible; early dramatic findings have been questioned.,HMB|lean mass|muscle retention|body composition|caloric restriction,ISSN Position Stand (Wilson et al. 2013); effects are population-dependent.
FRAG_016_02,DOC_016,M20,hmb,recovery,muscle_soreness_recovery,review findings,"HMB supplementation reduces markers of exercise-induced muscle damage such as creatine kinase and lactate dehydrogenase, suggesting a protective role against muscle protein breakdown after intense exercise.",yes,moderate,3 g/day for at least 2 weeks prior to damaging exercise,mixed,The reduction in damage markers does not always correspond to faster functional recovery.,HMB|muscle damage|creatine kinase|LDH|recovery|muscle protection,Wilson et al. (2013) and Rowlands and Thomson (2009).
FRAG_017_01,DOC_017,M21,sodium_bicarbonate,performance,exercise_capacity_high_intensity_tolerance,ISSN position stand and meta-analysis,"Sodium bicarbonate at 0.2-0.3 g/kg body mass is an effective ergogenic aid for high-intensity exercise lasting 30 seconds to 12 minutes, enhancing extracellular buffering capacity and delaying acidosis-related fatigue.",yes,strong,0.2-0.3 g/kg body mass taken 60-120 min pre-exercise,mixed,"Gastrointestinal distress is common and may offset performance benefits; individual response variability is high.",sodium bicarbonate|buffering|acidosis|high intensity|exercise capacity|ergogenic,ISSN Position Stand and Carr et al. (2011) meta-analysis; strong evidence for buffering effect.
FRAG_017_02,DOC_017,M22,sodium_bicarbonate,performance,power_high_intensity_performance,meta-analysis results,"Sodium bicarbonate supplementation consistently improves performance in repeated sprint protocols, swimming events, and combat sports where acid-base balance is a limiting factor.",yes,moderate,0.2-0.3 g/kg body mass,mixed,Benefits are specific to anaerobic/glycolytic events; not effective for purely aerobic or very short (<30s) activities.,sodium bicarbonate|sprint|anaerobic|swimming|combat sports|power,Carr et al. (2011) and Peart et al. (2012); consistent for repeated sprints.
FRAG_018_01,DOC_018,M23,nitrate_beetroot,performance,endurance_exercise_performance,meta-analysis (McMahon et al. 2017),"Dietary nitrate supplementation from beetroot juice improves endurance exercise performance by 1-3% in sub-elite athletes, primarily by reducing the oxygen cost of submaximal exercise through enhanced mitochondrial efficiency.",yes,moderate,6.4-12.8 mmol nitrate (approximately 500 mL beetroot juice) consumed 2-3 hours pre-exercise,sub_elite_athletes,Effects are attenuated or absent in elite/highly trained athletes; acute dosing appears more effective than chronic supplementation.,nitrate|beetroot|endurance|oxygen cost|mitochondrial efficiency|aerobic,McMahon et al. (2017) and Jones (2014); effects strongest in sub-elite populations.
FRAG_018_02,DOC_018,M24,nitrate_beetroot,performance,time_to_exhaustion,systematic review,"Beetroot juice supplementation extends time to exhaustion during moderate to high-intensity exercise, with the largest effects seen in exercises lasting 5-30 minutes where oxygen delivery is a limiting factor.",yes,moderate,400-800 mg dietary nitrate pre-exercise,mixed,Antibacterial mouthwash can blunt the nitrate-nitrite conversion pathway and reduce effectiveness.,nitrate|beetroot juice|time to exhaustion|exercise tolerance|endurance,Jones et al. (2014); consistent for time-to-exhaustion protocols.
FRAG_019_01,DOC_019,M25,ashwagandha,performance,strength,meta-analysis (Bonilla et al. 2021),"Ashwagandha root extract supplementation at 300-600 mg per day for 8-12 weeks modestly improves muscular strength and recovery in resistance-trained individuals, though effect sizes are small and study samples are limited.",partial,moderate,300-600 mg/day standardized root extract for 8-12 weeks,resistance_trained_adults,Most studies have small sample sizes; ashwagandha is not yet included in major ISSN or IOC position papers as a recommended ergogenic aid.,ashwagandha|strength|muscular strength|resistance training|withania,Bonilla et al. (2021) and Wankhede et al. (2015); promising but limited evidence.
FRAG_019_02,DOC_019,M26,ashwagandha,energy_fatigue,perceived_energy_fatigue_reduction,randomized controlled trials,"Ashwagandha supplementation significantly reduces perceived stress and serum cortisol levels by 14-28% compared to placebo, supporting claims about stress reduction and adaptation in physically active individuals.",yes,moderate,300-600 mg/day for at least 8 weeks,healthy_adults,Long-term safety data are limited; extract standardization varies between products which complicates dosing recommendations.,ashwagandha|stress|cortisol|fatigue|adaptation|perceived stress,Chandrasekhar et al. (2012); consistent cortisol-reduction findings across RCTs.
FRAG_020_01,DOC_020,M27,taurine,performance,endurance_exercise_performance,meta-analysis (Waldron et al. 2018),"Taurine supplementation at doses of 1-6 g improves endurance performance as measured by time-to-exhaustion, likely through its role as an antioxidant and support of calcium handling in skeletal muscle.",yes,moderate,1-6 g acutely or 1-3 g/day for 1-2 weeks,mixed,Limited evidence for peak power or strength outcomes; most studies are small and short-term.,taurine|endurance|time to exhaustion|antioxidant|calcium handling,Waldron et al. (2018) Sports Medicine meta-analysis.
FRAG_020_02,DOC_020,M28,taurine,energy_fatigue,perceived_energy_fatigue_reduction,review findings,"Taurine may reduce oxidative stress markers and support exercise tolerance, but evidence for direct perceived energy or fatigue reduction is limited and confounded by co-ingestion with caffeine in energy drink studies.",partial,weak,1-3 g per day,mixed,Energy drink studies confound taurine effects with caffeine; isolated taurine evidence for subjective energy is weak.,taurine|fatigue|energy|oxidative stress|exercise tolerance,Zhang et al. (2004); limited isolated evidence apart from energy drink confounding.
FRAG_021_01,DOC_021,M29,creatine_monohydrate,cognitive,reaction_time_focus,systematic review,"Creatine supplementation may benefit cognitive processing and mental performance, particularly under conditions of sleep deprivation or mental fatigue, though evidence in well-rested healthy adults is less consistent.",partial,moderate,5 g/day or standard loading protocol,mixed,Cognitive benefits are most evident during stress conditions; the effect in well-rested non-fatigued individuals is unclear.,creatine|cognitive|mental performance|reaction time|sleep deprivation|brain,Rae et al. (2003) and Avgerinos et al. (2018); benefits conditional on cognitive stress.
